,name,username,tweetid,time,tweets,fanboy
234,Mohamed Naseem,NaseemAhmed50,10685,4/2/2016 5:50,"Burning and looting, this is what these pigs mean by liberation. https://twitter.com/markito0171/status/715091514913898498 ",1
235,Mondee Redman,MondeeRedman,752663123908190208,7/12/2016 12:37:27 AM,"RT @linnyitssn: Violence by Police. Violence against Police. Isis. Zika.  But no worries, the GOP just came with a Plan.  They want to ban…",0
236,#ItHasToBeYou Rhean,rhenvao,750097010544349184,7/4/2016 10:40:38 PM,"RT @IanSalim: Udah saatnya semua orang stop menyebut 'ISIS', krn ada embel2 'Islamic ' disana. Udah nyata-nyata mereka bukan Islam.",0
237,Trump's Nurse,tunarose2,752658452707762176,7/12/2016 12:18:53 AM,RT @cbeelman: Judicial Watch: FBI Scrambles After ISIS Report http://bb4sp.com/judicial-watch-fbi-scrambles-after-isis-report/ via @BarracudaMama,0
238,CEP,FightExtremism,752505757837524992,7/11/2016 2:12:08 PM,"ICYMI: Thought dead, officials confirm that Neil Prakash is alive & still recruiting for ISIS online: http://bit.ly/29tZMv",0
239,Hassan Y,hassany1989,750049932485206016,7/4/2016 7:33:33 PM,RT @ohboywhatashot: ★★ ★ #poll ★ ★★  ISIS was created by US as a tool to overthrow Assad to establish the Qatar-Turkey-EU oil pipeline?,0
240,Robert Hay QC,hay_rhay,752449748292870145,7/11/2016 10:29:34 AM,RT @clarionproject: Woman who plotted #ISIS attack in #London shopping center has sentenced reduced http://www.mirror.co.uk/news/uk-news/woman-who-plotted-isis-attack-7988864,0
241,Conflict Reporter,WarReporter1,10406,3/31/2016 20:07,"RT @ajaltamimi: ""According to FSA officers, Nusra routinely harvests up to half the weapons supplied by the Friends of Syria...""- #pt #Syria ",1
242,Munna Bhai MBBS,hey_circuit,750016747231674368,7/4/2016 5:21:41 PM,RT @rk_hudda: ISIS & Al-Quaeda have outsourced their legal defence works to the BPO named #MIM run by Owaisi  @TimesNow  #OwaisiTerrorPolit…,0
243,Jesse,JesseKissi,749929968478482432,7/4/2016 11:36:52 AM,RT @mnhsc0nfess: We actually like Edina           -ISIS,0
244,Larry Pinkerton,LarryPinkerton,750107995065974785,7/4/2016 11:24:17 PM,"RT @TrumpTrain8: Muslims join liberals in denouncing Trump, but they won't denounce ISIS. Make sense..",0
245,Waleed Batterjee,wbatterjee,750131790002679808,7/5/2016 12:58:50 AM,RT @SaudiNews50: How ISIS related to Islam while it targets mosques and places where Muslims are gathering?  #ISISAttackingMuslims  - https…,0
246,里井 瀬奈,SenaSatoi,749907257970663424,7/4/2016 10:06:37 AM,[from twittbot] ISISを名乗るアカウントから 、 ISISは「イスラエル諜報局だ」という指摘を頂いた 。  これで 、 イスラム教徒とはかなり縁の遠い存在と解るはず 。   マスコミが未だ誤称し続ける最大の理由は 、 日本人を殺すことと 、 ウラで繋がっているように見えないからかと 。,0
247,pizza nista,puzzlingriddles,750032413456109568,7/4/2016 6:23:56 PM,RT @farwzaz: Muslims spend the last days of ramadhan in worship while ISIS bombs multiple holy cities. real representation of Islam tho.,0
248,hafnium fulaani,Fidaee_Fulaani,4664,2/17/2016 19:34,"If you follow me, you need to follow this brother too... :) https://t.co/D4BSVU5TAn ",1
249,Kashmiri Witness,IbnKashmir_,10775,4/3/2016 20:14,RT @RamiAlLolah: #YPG terror group has killed a young boy who was protesting peacefully yesterday & guess why: He demanded to return back t… ,1
250,(((✡Jeannette✡))),Jetamazinggrace,752573840866283520,7/11/2016 6:42:40 PM,RT @JoopSoesan: Deze dus. Met Uw belastinggeld betaalde ontkenners van ISIS onder vluchtelingen https://twitter.com/Elsevier/status/752571504798343168,0
251,M a r i n e,_Mrn76,750072423018618880,7/4/2016 9:02:55 PM,RT @AzeKings: shab daesh ils pensent qu'en faisant ça ils vont aller o paradis msaken ptdr ils vont avoir un abonnement vip en enfer avec s…,0
252,Brian Murphy,brianm94,752573372983279616,7/11/2016 6:40:48 PM,RT @alison_rambles: Xavier University Student pleads guilty of trying to join ISIS!  http://local12.com/news/local/student-pleads-guilty-in-isis-terror-plot pic.twitter.com/kJjXUKGVHP,0
253,Marko Enqvist,menqvist70,749962679146672137,7/4/2016 1:46:50 PM,RT @BI_Europe: Turkey to propose cooperation with Russia on fighting ISIS http://uk.businessinsider.com/turkey-to-propose-cooperation-with-russia-on-fighting-isis-2016-7 pic.twitter.com/FrtvWCqhzY,0
254,David Hand,Ptolemarch,750129406270590976,7/5/2016 12:49:21 AM,One soldier 's view on Trump and ISIS may be interesting to those of my friends in (or formerly in) the military: https://angrystaffofficer.com/2016/06/02/not-understanding-the-fight-against-isis-an-open-letter-to-donald-trump/,0
255,حُسَيْن_خذنصر,hussain_rain,752451942169899008,7/11/2016 10:38:17 AM,@laraAhmad1995 @Mosul__ انتي الان لرأي سياسي عن السعوديه و داعش و و..صنفتيني على اني غير شيعي,0
256,Jonsson,Werzion,752441047221927936,7/11/2016 9:54:59 AM,RT @Soranismail: Daesh mördar nu även barn med Down Syndrom och andra funktionsvariationer. Ska någon säga stopp någon gång? https://t.co/j…,0
257,War BreakingNews,warrnews,5327,2/23/2016 9:07,https://www.facebook.com/unsupportedbrowser ,1
258,TheBigKahuna,DavidKnipp,752647549320830976,7/11/2016 11:35:33 PM,RT @CtrlSec: Targeted #ISIS accounts https://twitter.com/intent/user?user_id=735005461058097152 https://twitter.com/intent/user?user_id=2763220144 https://twitter.com/intent/user?user_id=730155589716848640 #targets #iceisis #opiceisis,0
259,Jimmy Lee Easton,flint1977,752662289854193666,7/12/2016 12:34:08 AM,flint ark stops isis Bible Codes Predictions Software Search Freeware Prophecy - Bible Code Wisdom http://biblecodewisdom.com/code/flint-ark-stops-isis#.V4Q6_qsZVFg.twitter,0
260,Tania Syed,taniasyed5,752524150065991680,7/11/2016 3:25:13 PM,"pp: rt: #SackDoval this devil is No.1 terrorist in the world, he is feeding #ISIS",0
261,.:KaTΞ:.,kfisme,749932884161499136,7/4/2016 11:48:27 AM,RT @AppSame: Welcome to the U.S Transgender Army this will really scare #ISIS pic.twitter.com/H6X0Aq2vHD,0
262,Conflict Reporter,WarReporter1,8871,3/22/2016 13:33,"RT @billroggio: Ayman al Zawahiri’s brother released from Egyptian prison - Mo Z, he's baaack http://www.longwarjournal.org/archives/2016/03/ayman-al-zawahiris-brother-released-from-an-egyptian-prison.php by @thomasjoscelyn ",1
263,Dr. John B. Charnay,jbcharnay,749922483172618240,7/4/2016 11:07:07 AM,Vladimir #Putin to send Russia 's largest warship to Syria to destroy #ISIS once and for all https://www.thesun.co.uk/news/1384059/vladimir-putin-to-deploy-russias-largest-warship-to-decimate-isis-once-and-for-all/,0
264,daddy leo,leggostar,750037858719637504,7/4/2016 6:45:35 PM,"RT @ravihellyeahh: when will people finally understand that ISIS doesn't represent Islam? They kills Muslims, they attacks holy places :(",0
265,Manolis Koutselakis,manolhs,752427795733700608,7/11/2016 9:02:20 AM,ISIS influence on the decline as terrorists lose Twitter battles     - CNET http://www.cnet.com/news/isis-influence-twitter-on-the-decline-us-state-department/#ftag=CADf328eec ,0
266,RaivooNET,RaivooNET,749903612378173440,7/4/2016 9:52:08 AM,DELFI: 'Daesh ' sarīkotajā sprādzienā Bagdādē bojāgājušo skaits pārsniedz 200 http://www.delfi.lv/news/arzemes/daesh-sarikotaja-spradziena-bagdade-bojagajuso-skaits-parsniedz-200.d ,0
267,July 28th.,YUNGBLXST,750121789842337792,7/5/2016 12:19:05 AM,"RT @poseydaddarios: ISIS bombed the Prophets Mosque, one the holiest places for Muslims. Pls think again before saying ISIS are muslims htt…",0
268,Nishant Trivedi,nishant_trivedi,749959208670466048,7/4/2016 1:33:03 PM,Can #Bangladesh battle the #ISIS threat? #DhakaAttack Read more http://www.thepeoplepost.com/blog/can-bangladesh-battle-isis-threat pic.twitter.com/N7TJoEFPyf,0
269,abutariq al mujahid,abutariq040,11020,4/6/2016 10:04,RT @trenchstrategy6: 🤔why? Isit because my tweets are like daggers to the hearts of kuffs and hypos https://twitter.com/account/suspended ,1
270,切り裂きカエル◆2GmnOgJb6o,sweeney_toad,752458704763576320,7/11/2016 11:05:09 AM,RT @echospherics: 「俺シリアでポケモンGOやってるけど 、 ISISの占領地にレアポケモンあるぞ 。 」 pic.twitter.com/AGm1y6Yjsh,0
271,最新まとめ速報,paraskevasharo1,749994321953300480,7/4/2016 3:52:35 PM,【緊急速報】 ｲｽﾗﾑ国ISISが犯行声明! !  「我々は日本人の殺害に成功した 。 このような攻撃をこれからも継続する 。 」 （画像あり） http://charly21.futoka.jp/ pic.twitter.com/jssuX8frTR,0
272,Murasil,murasil1,14038,4/24/2016 19:01,"Look at Diyala, once a stronghold of #IS and you'll know what fate safavid rafidis and crusader allies have planned for ahlussunnah in #Iraq ",1
273,wayf44rer,wayf44rerr,13131,4/19/2016 19:06,Children of Maskana town (south of #Manbij) during airstrikes https://twitter.com/account/suspended ,1
274,Sumi Gupta,16_sumi,750002138449866752,7/4/2016 4:23:38 PM,ISIS claims responsibility for Baghdad bombing  http://shrts.in/9YuCQSRtt9 -via @guardian,0
275,Hk,aitchk7,750073411687383040,7/4/2016 9:06:51 PM,RT @_Turki_20: #PrayForSaudi  3 attacks happened in less than 24 hours and some stupeds still thinking those ISIS are part of islam !,0
276,Aftermath,VitalzAftermath,749990828194471938,7/4/2016 3:38:42 PM,RT @LindaGlocke: I will destroy ISIS.,0
277,Sang Pengembara,AlBurhanCenter,750115896857796608,7/4/2016 11:55:40 PM,"Syiah, ISIS,  Zionis dan Kolaborasi Manis   By: Nandang Burhanudin *****   (1) Saya tak mengira, Madinah dan.  http://fb.me/83XSetxE3",0
278,Ryan (((B))) Leslie,RyanBLeslie,752502580433997824,7/11/2016 1:59:30 PM,RT @ABCPolitics: Carter announces 560 more troops to Iraq to help stage battle to retake Mosul from ISIS http://abcnews.go.com/International/us-deploy-560-troops-iraq-preparation-mosul-offensive/story https://t.…,0
279,Patrick McComas,pw_mccomas,750048010688614401,7/4/2016 7:25:55 PM,If today doesn't make you want to throat punch ISIS then I don't… https://www.instagram.com/p/BHc4NTaBF9Cu4mdk0V5dUhYSpSNKhhO7h3b75Y0/,0
280,Radha Mohan,RadhaMohan22,749902207651373056,7/4/2016 9:46:33 AM,#DhakaAttack requires intense probe to prove ISIS link: Sheikh Hasina 's political advisor http://www.dnaindia.com/world/report-dhaka-attack-requires-intense-probe-to-prove-isis-link-pm-sheikh-hasina-s-political-advisor-2231076 pic.twitter.com/pYn96WW8ub,0
281,Nidhi Dhamija,dhamijanidhi,749910784747069440,7/4/2016 10:20:38 AM,"RT @iAnkurMishra: In our country misguided youths join Roadies and Splitsvilla, In Muslim countries they join ISIS. It has nothing to do wi…",0
282,Vishal,vishalgaurav79,752423234834927616,7/11/2016 8:44:13 AM,US To Help Iraq Build Base For Push On Mosul: Ash Carter http://www.ndtv.com/world-news/us-to-help-iraq-build-base-for-push-on-mosul-ash-carter-1430110 ,0
283,Mo Johnson,thunder_struck,750023468108935168,7/4/2016 5:48:24 PM,"RT @chrislhayes: ISIS now going full Zarqawi, it appears. https://twitter.com/AJENews/status/750021665011163140",0
284,madinatour,MadiMadinatour,752536159033569282,7/11/2016 4:12:56 PM,RT @abuassegaf07: aku dulu juga pencaci maki isis tetapi setelah melihat ini aq merenungkannya pic.twitter.com/20MwFRLECO,0
285,Ibni Haneefah,_IshfaqAhmad,3337,2/6/2016 6:37,Who's driven half the Syrians out of their homes? Who's starving Syrians to death? Who drops barrel bombs on Syrians? ,1
286,Vinnosh Kumar,Vinnosh,749984503884427264,7/4/2016 3:13:34 PM,RT @sharliniiman: Isis carried out their first successful attack here IN MALAYSIA! ! ! ! ! ! ! ! ! ! !  We should be freaking out,0
287,Ibni Haneefah,_IshfaqAhmad,2117,1/31/2016 6:44,"ODI series was supposed to be of 5 matches, NZ won 2. Pakistan win the series 3-2. Well done! ",1
288,Conflict Reporter,WarReporter1,10007,3/27/2016 21:19,@made0in0war @Blackglass_19 The pictures are referring to the use of military smoke screens: https://en.wikipedia.org/wiki/Smoke_screen ,1
289,Cambridge,parmut13,749934875793248256,7/4/2016 11:56:22 AM,RT @HillaryClinton: Today 's attack in Baghdad is another horrific example of ISIS 's savagery. We will defeat them. My prayers are with the…,0
290,(((kath2cats))),kath2cats,750055309507375106,7/4/2016 7:54:55 PM,RT @latimes: Iraq: Death toll from Islamic State-claimed bombing climbs to 157 http://www.latimes.com/world/la-fg-iraq-bombing-20160704-snap-story.html pic.twitter.com/ilgkBjokKX,0
291,Intolerant Chinmay,chinmay_231082,752438076555878400,7/11/2016 9:43:11 AM,RT @AskAnshul: Sonia Gandhi talking on National Security is like ISIS talking on Peace & Harmony. India infected due to Congress Pro-Terror…,0
292,Michael Keyes,mikekeyes4131,752615035948535808,7/11/2016 9:26:22 PM,@Salon Rudy making a political play framing group as an American ISIS and its working because he knows how to frame the argument with facts,0
293,Rocio Perez,maropesa,752557743244926976,7/11/2016 5:38:42 PM,RT @AFPespanol: Las fuerzas iraquíes le arrebatan al EI una importante base aérea al sur de Mosul #AFP http://www.msn.com/es-xl/noticias/otras/el-ejército-iraquí-retoma-una-base-aérea-en-el-sur-de-mosul/ar-BBu97Al https://t.co…,0
294,Christine B. Garcia,cbgarcia1217,750010517394223104,7/4/2016 4:56:56 PM,""" Iraq Offers Grieving Families the Consolation of Swift Death for ISIS Fighters ""  by FALIH HASSAN and TIM ARANGO vi… http://www.nytimes.com/2016/07/05/world/middleeast/baghdad-iraq-bombing.html ",0
295,Yusuf Bachtiar,YUSBACK,750086114728292352,7/4/2016 9:57:20 PM,RT @imanlagi: Dari awal targetnya ISIS kan emang ngancurin makam Rasul dan Kabah. Dan beneran dijalanin rencananya.  Duh.,0
296,masa.yama,cheap_watchdog,752468382021066753,7/11/2016 11:43:37 AM,RT @alfonslopeztena: ISIS has lost 12% of its territories in Iraq and Syria since January: http://www.bbc.com/news/world-middle-east-36762874 pic.twitter.com/cMbbEkAbj9,0
297,Bradford C. Walker,MrBCWalker,750124920676290561,7/5/2016 12:31:32 AM,RT @ramzpaul: ISIS was funded by the USA to overthrow Assad. Israel determines our foreign policy decisions. That is why. https://t.co/xn3C…,0
298,wayf44rer,wayf44rerr,13707,4/22/2016 17:39,RT @Iq2016Bgd: #يسألونك_عن_الإرهاب طفله سوريه ناجيه من القصف الجوي علي احد احياء #حلب https://twitter.com/2011iqbgd20161/status/723522279804686337 ,1
299,HIMALAYA,AllanePieerre,752549781684224000,7/11/2016 5:07:04 PM,RT @AmineMaTue: Mais Daesh bien sur qu'ils sont à la fanzone mais ils regardent le match comme tt le monde c'est une finale de coupe d'euro…,0
300,ecOiko Green Cyprus,ecOikoinfo,752457842720845824,7/11/2016 11:01:44 AM,"New post (ISIL transfers suicide bombers from Syria to Europe through Azerbaijan, Cyprus, Georgia: Report) has.  http://fb.me/876xq6hbu",0
301,Monica M.,ArtMonica2,752610913988009984,7/11/2016 9:09:59 PM,"RT @info_Rojava: Elles se battaient contre Daesh jusqu'à juillet2015,elles sont tombées dns les combats face à l'armée turque.#Kurdes https…",0
302,Al_Khdir,mulcairejack,750088782884458496,7/4/2016 10:07:56 PM,"RT @Zinvor: In two days, ISIS targets a foreign embassy, Shia civilians & Saudi security forces. These are the only groups ISIS targets in…",0
303,Rens,Stormtroepen,752496473225437184,7/11/2016 1:35:14 PM,@V_of_Europe Free visum Turkey next step. They can all free traveling in Europe with Turkey passport out Syria. All more ISIS support!,0
304,momo,amenomomo,749941983431368704,7/4/2016 12:24:36 PM,RT @AJENews: UPDATE: Death toll in ISIL-claimed Baghdad explosion rises to more than 200 http://www.aljazeera.com/news/2016/07/iraq-baghdad-bombings-kill-23-160703045945293.html pic.twitter.com/XT8tNWCUmv,0
305,Cameron Collins,camefc,752465274402697216,7/11/2016 11:31:16 AM,RT @MailOnline: ISIS organise their very own Jihad Olympics - complete with tug-of-war and musical chairs http://www.dailymail.co.uk/news/article-3683509/Now-ISIS-organise-Jihad-Olympics-complete-tug-war-musical-chairs.html https://t…,0
306,وان|TeamRayaKelate#,ikhwxn_,752658485733564416,7/12/2016 12:19:01 AM,RT @SyedSaddiq: 125 murdered in Baghdad. 50 murdered in Turkey. 20 murdered in Dhaka All during Ramadhan. All by ISIS. =Terrorism is the tr…,0
307,Salahuddin Ayubi,mobi_ayubi,5425,2/23/2016 23:12,"RT @RamiAlLolah: Map features detailed Nusra, #ISIS, #FSA & Islamic factions locations & frontlines. #USA #Russia will jointly attack appro… ",1
308,Rajesh Chouhan,RajeshDChouhan,752473990321537024,7/11/2016 12:05:54 PM,RT @cgalgale: अब कश्मीर में पाकिस्तान या ISIS का झंडी नहीं दिखेगा और आतंक को खत्म किया जाएगा ।  💣🔫 pic.twitter.com/TuwcJa9soN,0
309,Al-Battar English,Al_Battar_Engl,2039,1/30/2016 19:54,#IslamicState #WilayatNinawa Tour at #AdDawasat Street in #Mosul #Caliphate_News https://justpaste.it/r090 https://twitter.com/account/suspended ,1
310,Navroop Singh,s_navroop,752508528103813120,7/11/2016 2:23:08 PM,RT @ANI_news: Suspected ISIS terror module case: Accused Ibrahim used a secure encryption mail to be in touch with his handler abroad- NIA…,0
311,Adr33s,Dola4_Boys,750010240687480832,7/4/2016 4:55:50 PM,RT @Uncle_SamCoco: Philippines : Katiba Al-Muahjir pledges allegiance to Islamic State.  https://twitter.com/VegetaMoustache/status/749925349400711168,0
312,Rami,RamiAlLolah,13505,4/21/2016 20:48,R 2011 Homs: Assad photo removed for one free #Syria L 2016 Qamishli: Assad photo removed for founding Rojava https://t.co/vlcvf6ckaY ,1
313,三千世界。,turezvre,749959221328769025,7/4/2016 1:33:06 PM,RT @diablo_delfin: 過激ネトサヨが中立な人達に対して「冷笑系」だの「中立＝敵を利するも同然」だの罵って敵視してるのを見ていると 、 ＩＳＩＳが中立派を敵視しないわけない 、 という結論に 。 過激ネトサヨとＩＳＩＳはそっくり 。 日本では武器の入手が困難だからテロってないだけ 。,0
314,Исидора ПереплетчикL,lyn19915,752568185828806656,7/11/2016 6:20:12 PM,RT @4Cherlyn198: Is this the next ISIS hotspot?,0
315,',iniest5,750019093307256832,7/4/2016 5:31:01 PM,"RT @SaudiNewsFR: Urgent:  Explosion à Al #Madinah, un terroriste s'est fait exploser proche d'un parking  #Tous_contre_Daesh https://t.co/w…",0
316,Annayü Maharani,annayucaca,752475570693238784,7/11/2016 12:12:11 PM,"Destroying historic ruins allows ISIS to erase any prev. civilization,establish its own identity #CultureUnderThreat https://en.m.wikipedia.org/wiki/Destruction_of_cultural_heritage_by_ISIL",0
317,MephistoFish,mephistofish,752470673952501760,7/11/2016 11:52:43 AM,"RT @Nero: Horrible to compare Black Lives Matter to ISIS.   ISIS is coherent, effective and well-organised. https://twitter.com/MADBLACKTWINK/status/752313790474039296",0
318,rach,oaktreerachel,750088459088461825,7/4/2016 10:06:39 PM,"RT @ajplus: After more than 200 people died in an ISIS attack in Baghdad, some are wondering: Where 's the solidarity with Iraq? https://t.c…",0
319,Jerry,MoberlyG,752604071236759553,7/11/2016 8:42:47 PM,RT @PamelaGeller: ISIS beheads four soccer players after declaring the sport ANTI-ISLAMIC: This is what the leftist elites who .  https://…,0
320,M. Milczanowski PhD,macmil71,750051551935401985,7/4/2016 7:39:59 PM,@wszewko oskarżą Huti? Lokalnych Szyitów czy ISIS?!,0
321,Mohammad,mboush1231,750067852703588352,7/4/2016 8:44:46 PM,RT @todayinsyria: #Syria | #ISIS has captured the brother of #YPG commander Abu Layla near #Manbij pic.twitter.com/04CNUMwJ56,0
322,Fig,Figbrained,752477262046461952,7/11/2016 12:18:54 PM,"RT @JSchanzer: Double game? Even as it battles ISIS, Turkey gives other extremists shelter. Via @JobyWarrick  My thoughts included. https:/…",0
323,Pratik,pratik_shah,752474027281686528,7/11/2016 12:06:03 PM,RT @Bete_N0ire: This is what an Islamic State does? So much so for aligning with Pakistan..!  pic.twitter.com/Rxpt7fXB0m,0
324,محمد زيشان بن حنيف,IbnHaneefa,750033662750535680,7/4/2016 6:28:54 PM,RT @abumiftah: #Saudi Arabia has been attacked by #ISIS more than any other foreign nation. They're cowards who seek legitimization. May Al…,0
325,Amina Ahmad,Aminaisaahmad,752455599531683840,7/11/2016 10:52:49 AM,"RT @ELBINAWI: Do you Remember when #ISIS were called  "" Sunni rebels ""  by Western mainstream media (MSM) 2 promote sectarian agenda? https://t…",0
326,Cassie,_mylilsecrets_,752678072831344642,7/12/2016 1:36:51 AM,Like fr dead as referred to the Black Lives Matter movement to ISIS. How Sway? How? 🤔🤔,0
327,كتكات كوكونت,Uncle_SamCoco,17263,5/12/2016 19:57,RT @Conflicts: VIDEO: Ambulances rush to the scene of the explosion in #Diyarbakir #Turkey - @KacSaaatOldu https://twitter.com/dokuz8haber/status/730847177967325189/video/1 ,1
328,highly marvelous auc,dunrubi,752629641089802240,7/11/2016 10:24:24 PM,ROLLING STONE MAGAZINE MARCH 2015 KENDRICK LAMAR SKRILLEX BATTLE AGAINST ISIS http://japan-jp.info/jp/jpn/?query=http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337597384&item=142051940572&vectorid=229466&lgeo=1 pic.twitter.com/Pq9AZWAn2V,0
329,Imran Mansoori,Ma62394840Imran,752571284907814916,7/11/2016 6:32:31 PM,"RT @AIMIM_faraaz: Don't generalise Indian Muslims in name of #ISIS, indirectly they're helping ISIS. @asadowaisi to security agencies. http…",0
330,mhand,alamhand,750047711504830464,7/4/2016 7:24:44 PM,RT @mrk1__: ha bh c'est squi c passez ajd mdr continuez a croire que daesh c des muslim bande de fiz de pute,0
331,خلدون,5Aldun_IQ,752435925091778560,7/11/2016 9:34:38 AM,"@Mosul__  عزيزي الموصلي بغض النظر عن المكتوب شنو المشكلة اذا نحب  "" مدينة مقدسة ""  عندنا حالها حال كربلاء والنجف ؟؟",0
332,#TeamRayoBesut,RidhwannRoslan,750137459132870656,7/5/2016 1:21:21 AM,RT @1Obefiend: So now you understand why we have been telling you for years ISIS is dangerous. Now you see? Too late right? They're in Mala…,0
333,Arabpress.eu,arabpress_eu,749944016041574400,7/4/2016 12:32:41 PM,#Zoom: L’#Occidente ama la propaganda di #Daesh e meno la #Siria http://arabpress.eu/loccidente-ama-la-propaganda-daesh-meno-la-siria/74368/ pic.twitter.com/GRmKQbAemA,0
334,Tyler,conaway_tyler,752641829707931648,7/11/2016 11:12:50 PM,RT @MilitaryEarth: I love the fact we have flying pigs killing Isis bacon haters. pic.twitter.com/R8tXtYJ3Pu,0
335,Waris Warsi,wrshashmi6,752497104837234692,7/11/2016 1:37:45 PM,Blaming Islam for ISIS is like blaming Hinduism for 2002 Gujarat riots http://fb.me/83C0cS89j,0
336,Petit Dragon,LeeDZAWA,750073087723499524,7/4/2016 9:05:34 PM,"RT @NasNacera: Daesh a attaqué la ville sainte de Médine, la mosquée sacrée du prophète mohamed (ass) au nom de .. L'islam ! ! ! ! ! ! !  #PrayFor…",0
337,Irfan,Irfan_H9,750106036888010752,7/4/2016 11:16:30 PM,RT @AnsarAAbbasi: ISIS is apparently behind Madina attack. Who created ISIS? What Tony Blair had said about ISIS? Who wants anarchy in Musl…,0
338,Mohamed Naseem,NaseemAhmed50,11900,4/10/2016 9:40,Taghut of Qatar allows U.S. B-52 bombers to be based in Qatar to slaughter Muslims. - http://linkis.com/www.reuters.com/arti/gm69s ,1
339,Mohsen,MTavoli,752459351391109120,7/11/2016 11:07:44 AM,RT @NegarMortazavi: How Muslims see ISIS.   (Pew Research Center) pic.twitter.com/St2MlBvdBh,0
340,torentonian,ABDULLAALSABR,750064965655130113,7/4/2016 8:33:18 PM,ISIS is part of hell and misunderstanding divine religions   No religion is agree with stupid ISIS  . Together against them  #PrayForSaudi,0
341,KHALED ALSULAIM,KhaledAlsulaim,750114917622185984,7/4/2016 11:51:47 PM,@M7wr9 @2_SL0W  حبيب قلبي محور يشرفني ترد علي، لكن في هالحالة تعامل ISIS في حكم المؤسسة أو المنظمة  ولا تعامل كفرد أو جماعة.,0
342,duddy,CillSarain,752483439165730816,7/11/2016 12:43:27 PM,"RT @kidnoble: These local officers literally look like they're on the search for Isis, not policing the community.",0
343,Alessandro,pelias01,749944997890449409,7/4/2016 12:36:35 PM,#Bangladesh faces an uncertain new reality after the #Dhaka attack http://time.com/4392553/bangladesh-dhaka-attack-isis-terrorism-holey-artisan-bakery/ via @TIMEWorld,0
344,The Witnesser,Bajwa47online,432,10/14/2015 15:53,"RT @almuwahideen__: The Khawarij fought and killed for the Hukm of Allah, with sincerity, devotion, and certainty in their path. Ya subhan … ",1
345,JanetM,Cilvrnum,752611850093752320,7/11/2016 9:13:42 PM,RT @O_Y_Eyes: Thinking of travelling to join ISIS? Persephone explains what life would really be like for a girl. https://amp.twimg.com/v/2b346ab3-8355-48da-852e-5ca07e3b1afd,0
346,farooq ul haq,haq_farooq,750005878401761280,7/4/2016 4:38:30 PM,"RT @DrHassanQadri: I strongly condemn the twin explosion in #Baghdad by #ISIS, such grievous & murderous acts are against humanity. #Karrad…",0
347,歩鳥,m1zessent0mb121,749953802141175808,7/4/2016 1:11:34 PM,ISISやISIL呼びに変えろよ国じゃないんだから    #報道ステーション,0
348,RM26,RyadGorine,752647595433009152,7/11/2016 11:35:44 PM,RT @anthonylattat: Le gars de Daesh qui parlait d'une surprise pendant l'euro c'était la victoire du Portugal non?,0
349,General,ismailmahsud,1427,1/22/2016 14:56,"His name was Capt Sadoun Alkhaz Ali born to became General f ""what country"" but caught by wings f death n #Ramadi https://twitter.com/account/suspended ",1
350,thugginn',JUUUKES,750034296568709121,7/4/2016 6:31:25 PM,"Even if it is just an exploding car, ISIS will most likely claim it.",0
351,GazanAtHeart,BeardedTraveler,750042500639952899,7/4/2016 7:04:01 PM,The dogs called ISIS.  #Medina,0
352,sighpad.m™,sipadmohd,750112447705456641,7/4/2016 11:41:58 PM,"RT @Ed_Husain: Medina was attacked in 1806 by Wahhabis. Shrines destroyed. Today 210 years later, violent Salafis/ISIS again attack mainstr…",0
353,عبدالرحمن زياد,Sideplan_12,752612166046519296,7/11/2016 9:14:57 PM,RT @ZLGold: #BREAKING #IslamicState statement claims attack killing BG Ahmed Kamal Mahmud & other #Egypt'ian soldiers in CENTRAL #Sinai yes…,0
354,ipung #IdulFitri,IpungLombok,750110269146144768,7/4/2016 11:33:19 PM,Waduh..isis ancam ka'bah #PrayForMadinah https://twitter.com/LibyanBentBladi/status/750077028439842870,0
355,Ari Rukmana,Arie_Rukmana,750135171056304129,7/5/2016 1:12:16 AM,Why so-called Islamic State chooses to bomb during Ramadan - BBC News http://www.bbc.com/news/world-middle-east-36703874 ,0
356,Juanfel Japonny24,Menol_Choky_HD,750056207243620352,7/4/2016 7:58:29 PM,"Watch:  City Apologizes to Man Falsely Accused of ISIS Allegiance: The city of Avon, Ohio, has apologized to . http://abcnews.go.com/US/video/city-apologizes-man-falsely-accused-isis-allegiance-40335529 ",0
357,S. Canalp Korkmaz,SC_Korkmaz,752506902223937537,7/11/2016 2:16:41 PM,US to send over 500 troops to liberate Mosul from Daesh http://sabahdai.ly/7OGUHp,0
358,The Caravan,freelance_112,16239,5/7/2016 8:47,Abu tayba Al-Rawi #willayatAlfurat https://t.co/1oOowCeXgX ,1
359,tanitopasqual,tanitopasqual,752607283775938560,7/11/2016 8:55:33 PM,Ver el horror y vivir para contarlo: el testimonio del argentino que escapó del ISIS | Bangladesh - http://www.minutouno.com/notas/1496470-ver-el-horror-y-vivir-contarlo-el-testimonio-del-argentino-que-escapo-del-isis @JAVIERGACIAISAC,0
